 1,  15.-18.4.,   brahe,  ,                      
 2,  22.-25.4.,   falken, slätbacka,                         
 3,  29.4.-2.5.,  Brahe,  Pörkenäs,    images/Handelsbanken_logs.png;https://handelsbanken.fi            
 4,  6.-9.5.,     Falken, Sisbacka,                          
 5,  13.-16.5.,   Minken, Stjärnhallen,     
 6,  20.-23.5.,   Brahe,  Fäboda,     images/Hartman_logo.png;https://hartman.fi
 7,  27.-30.5.,   Brahe,  Fränsviken, images/Larsmo_logo.png;https://larsmo.fi
 8,  3.6.-7.6.,   Falken, Långskogen,            
 9,  10.6.-14.6., Minken, Gunilack,                
 10, 17.-21.6.,   Piehi,  Sandsund,                          
 11, 24.-28.6.,   Brahe,  Lussilundsvägen,         
 12, 1.-5.7.,     Brahe,  Kackur,                  
 13, 8.-12.7.,    Minken, Vexala,                  
 14, 15.-19.7.,   Brahe,  Långsjön,                
 15, 22.-26.7.,   Brahe,  Sandåsen,                
 16, 29.7.-2.8.,  Falken, Kassnäs,                 
 17, 5.-9.8.,     Brahe,  Vallan,                  
 18, 12.-16.8.,   Falken, Losten,                  
 19, 19.-23.8.,   Minken, Nyko,                  
 20, 26.-30.8.,   Brahe,  Degernäs,                
 21, 2.-6.9.,     Brahe,  Ådö,                     
 22, 9-13.9.,     Brahe,  Larsmo sportstuga,       
 23, 16.-20.9.,   Falken, Bergö (kl 16:30-18),     
 24, 23.-27.9.,   Minken, Skogsparken (Obs! Byte),
