 1,  20.4, brahe,  gamla hamn,      
 2,  27.4, minken, stjärnhallen,    
 3,  4.5,  falken, purmo,           
 4,  11.5, brahe,  fäboda,          
 5,  18.5, minken, socklot,         
 6,  25.5, brahe,  pörkenäs,        
 7,  1.6,  falken, forsby,          
 8,  8.6,  brahe,  larsmo,          
 9,  15.6, falken, forsby,          
 10, 22.6, brahe,  lusselundsvägen, 
 11, 29.6, falken, ytteresse,       
 12, 6.7,  brahe,  sundby,          
 13, 13.7, minken, nyko,            
 14, 20.7, falken, lövö,            
 15, 27.7, brahe,  eugmo,           
 16, 3.8,  falken, spituholmen,     
 17, 10.8, piehi,  piehi:s stuga,   
 18, 17.8, minken, nykarleby,       
 19, 24.8, brahe,  larsmo,          
 20, 31.8, minken, vexala,          
 21, 7.9,  brahe,  storsand,        
 22, 14.9, falken, överesse,        
 23, 21.9, brahe,  södra bredskär,  

