 1,  25.4, Brahe,  Gamla hamn,                           
 2,  2.5,  Falken, Purmo,                                
 3,  9.5,  Minken, Ransvik,                              
 4,  16.5, Brahe,  Storsand,                             
 5,  23.5, Falken, Spituholmen,                          
 6,  30.5, Brahe,  Larsmo sportstuga,                    
 7,  6.6,  Brahe,  Fränsviken,                           
 8,  13.6, PieHi,  Sandsund,                             
 9,  20.6, Falken, Hummelgjuto,                          
 10, 27.6, Minken, Vexala,                               
 11, 4.7,  Brahe,  Eugmo,                                
 12, 11.7, Falken, Esse,                                 
 13, 18.7, Brahe,  Östanpå,                              
 14, 25.7, Minken, NURK (Nykarleby Ridklubbs parkering), 
 15, 1.8,  Brahe,  Vallan,                               
 16, 8.8,  Falken, Purmo,                                
 17, 15.8, Minken, Nykarleby,                            
 18, 22.8, Brahe,  Degernäs,                             
 19, 29.8, Falken, Forsby,                               
 20, 5.9,  Minken, Stjärnhallen,                         
 21, 12.9, Brahe,  Ådön,                                 
 22, 19.9, Brahe,  Pörkenäs,                             

