 1,  22.4, Falken, Lappfors,           
 2,  29.4, Brahe,  Gamla hamn,         
 3,  6.5,  Minken, Stjärnhallen,       
 4,  13.5, Falken, Forsby,             
 5,  20.5, Brahe,  Pörkenäs lägergård, 
 6,  27.5, Brahe,  Lussilundsvägen,    
 7,  3.6,  Falken, Esse,               
 8,  10.6, Minken, Ransvik,            
 9,  17.6, Brahe,  Larsmo idrottspark, 
 10, 24.6, Brahe,  Fäboda,             
 11, 1.7,  Falken, Kållby,             
 12, 8.7,  Brahe,  Storsand,           
 13, 15.7, Brahe,  Eugmo,              
 14, 22.7, Minken, Måtas,              
 15, 29.7, Falken, Överesse,           
 16, 5.8,  Brahe,  Fränsvik östra,     
 17, 12.8, PieHi,  Ruusulehto skola,   
 18, 19.8, Minken, Skogsparken,        
 19, 26.8, Falken, Sundby,             
 20, 2.9,  Brahe,  Degernäs,           
 21, 9.9,  Minken, Nurk,               
 22, 16.9, Falken, Överesse,           
 23, 23.9, Brahe,  Eugmo,              

