1,  17.4, Brahe,  Plats,              ,
2,  24.4, Falken, Purmo,              Sisbacka,
3,  1.5,  Brahe,  Östanpå,            Resultat,
4,  8.5,  Minken, Skogsparkens skola, Resultat,
5,  15.5, Brahe,  Lillsand,           Resultat,
6,  22.5, Brahe,  Fränsviken,         Resultat,
7,  29.5, Falken, Forsby,             ,                 
8,  5.6,  Brahe,  ,                   ,        
9,  12.6, Minken, Nurks parkering,    Resultat,
10, 19.6, Brahe, , ,
11, 26.6, Falken, Lövö,               Kittholme         ,
12, 3.7,  Brahe,  Eugmo,              Resultat,
13, 10.7, Falken, Kockasberget,       Resultat,
14, 17.7, Brahe,  Vallan,             Resultat,
15, 24.7, Falken, Esse,               ,                 
16, 31.7, Brahe,  Sandåsen,           Resultat,
17, 7.8,  Minken, Vexala,             Brännskat         ,
18, 14.8, PieHi,  Ruusulehto skola,   Resultat,
19, 21.8, Minken, Nykarleby,          Andra sjö         ,
20, 28.8, Brahe,  Degernäs,           Resultat,
21, 4.9,  Falken, Kållby,             Långskoge         ,
22, 11.9, Minken, Monå,               Resultat,
23, 18.9, Brahe,  Ådö,                Resultat,
24, 25.9, Brahe,  Larsmo skidstuga,   Resultat, 

