 1,  24.4, Brahe,  Östanpå,                       
 2,  1.5,  Minken, Stärnhallen,                   
 3,  8.5,  Falken, Forsby,                        
 4,  15.5, Brahe,  Fäboda,                        
 5,  22.5, Brahe,  Kackur,                        
 6,  29.5, Falken, Lappfors,                      
 7,  5.6,  Brahe,  Fränsviken,                    
 8,  12.6, Falken, Hummelgjut,                    
 9,  19.6, Brahe,  Lusselundsvägen,               
 10, 26.6, Minken, Nykarleby ridklubbs parkering, 
 11, 3.7,  Falken, Esse,                          
 12, 10.7, Brahe,  Ådö,                           
 13, 17.7, Falken, Brännbacka,                    
 14, 24.7, Minken, Andra sjön,                    
 15, 31.7, Brahe,  Degernäs,                      
 16, 7.8,  PieHi,  PieHi:s stuga,                 
 17, 14.8, Brahe,  ,                              
 18, 21.8, Minken, Nyko (Kackurdunten),           
 19, 28.8, Brahe,  Bredskär,                      
 20, 4.9,  Falken, Bennäs,                        
 21, 11.9, Falken, Humla,                         
 22, 18.9, Brahe,  Pörkenäs/,                     
